Abandoned/Derelict Vehicle,Animal,Building/Apartment Condition,Business/Consumer,Electrical/Elevator,Environmental Hazard,Heat/Hot Water,Homeless/Encampment,Illegal Parking,Noise,Other,Plumbing/Water,Public Safety,Rodent/Pest,Sanitation,Sewer,Street Condition,Street Light,Tree
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
0,0,430,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1080,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,4,0,1,64,0,0,0,2,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,1,0,0,0
0,0,0,0,0,0,0,13,0,0,0,0,119,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,1,0,0,0,439,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
