Abandoned/Derelict Vehicle,Animal,Building/Apartment Condition,Business/Consumer,Electrical/Elevator,Environmental Hazard,Heat/Hot Water,Homeless/Encampment,Illegal Parking,Noise,Other,Plumbing/Water,Public Safety,Rodent/Pest,Sanitation,Sewer,Street Condition,Street Light,Tree
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0
0,0,426,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
0,0,2,161,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0
0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,1,0,0,64,0,0,0,0,2,3,0,0,0,0,0,0,0
0,0,7,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1017,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,1081,0,0,0,0,0,0,0,0,0
0,1,0,2,0,0,0,3,0,1,58,2,0,1,2,0,5,0,0
0,0,1,0,0,0,0,0,0,0,0,253,0,0,0,0,1,0,0
0,0,2,2,0,0,0,13,2,0,0,0,113,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0
0,0,2,0,0,1,0,0,2,1,2,1,5,0,423,0,1,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
0,0,2,3,0,0,0,0,1,1,0,0,0,0,2,0,293,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119
